ParameterName,Result,AddressOrKey
flash_save_eeprom_cal_flag,RESOLVED,0x40010884 (via flash_save_eeprom_cal_flag)
ClearFlagFaultLists,RESOLVED,0x400109E4 (via ClearFlagFaultLists)
gucflash_status,RESOLVED,0x40010894 (via gucflash_status)
gstSoftwareIdent,RESOLVED,0x9FFF00 (via gstSoftwareIdent)
a2l_freeze_frame_index_number,RESOLVED,0x400109E3 (via a2l_freeze_frame_index_number)
crv_CRPressUy,RESOLVED,0x40040114 (via crv_CRPressUy)
crv_CRPressUx,RESOLVED,0x40040104 (via crv_CRPressUx)
crv_BoostPressUy,RESOLVED,0x40040134 (via crv_BoostPressUy)
crv_BoostPressUx,RESOLVED,0x40040124 (via crv_BoostPressUx)
crv_Pedal1PosY,RESOLVED,0x400401AC (via crv_Pedal1PosY)
crv_Pedal1PosX,RESOLVED,0x400401A4 (via crv_Pedal1PosX)
crv_Pedal2PosY,RESOLVED,0x400401BC (via crv_Pedal2PosY)
crv_Pedal2PosX,RESOLVED,0x400401B4 (via crv_Pedal2PosX)
crv_FuelPressY,RESOLVED,0x40040174 (via crv_FuelPressY)
crv_FuelPressX,RESOLVED,0x40040164 (via crv_FuelPressX)
crv_OilLevelUy,RESOLVED,0x40040194 (via crv_OilLevelUy)
crv_OilLevelUx,RESOLVED,0x40040184 (via crv_OilLevelUx)
crv_OilPressUy,RESOLVED,0x40040154 (via crv_OilPressUy)
crv_OilPressUx,RESOLVED,0x40040144 (via crv_OilPressUx)
crv_PT1000y_TOil,RESOLVED,0x400401F8 (via crv_PT1000y_TOil)
crv_PT1000x_TOil,RESOLVED,0x400401E4 (via crv_PT1000x_TOil)
crv_NTCy_TCoolt,RESOLVED,0x4004025C (via crv_NTCy_TCoolt)
crv_NTCx_TCoolt,RESOLVED,0x4004020C (via crv_NTCx_TCoolt)
crv_NTCy_TAirBoost,RESOLVED,0x40040310 (via crv_NTCy_TAirBoost)
crv_NTCx_TAirBoost,RESOLVED,0x400402C0 (via crv_NTCx_TAirBoost)
crv_PT1000y_TAmbAir,RESOLVED,0x40040374 (via crv_PT1000y_TAmbAir)
crv_PT1000x_TAmbAir,RESOLVED,0x40040360 (via crv_PT1000x_TAmbAir)
crv_PT1000y_TFu,RESOLVED,0x4004039C (via crv_PT1000y_TFu)
crv_PT1000x_TFu,RESOLVED,0x40040388 (via crv_PT1000x_TFu)
cnst_BoostCurrent,RESOLVED,0x40040090 (via cnst_BoostCurrent)
cnst_HoldCurrent,RESOLVED,0x4004008C (via cnst_HoldCurrent)
cnst_BoostVoltage,RESOLVED,0x40040094 (via cnst_BoostVoltage)
cnst_CylinderNumber,RESOLVED,0x40040052 (via cnst_CylinderNumber)
cnst_BankNumber,RESOLVED,0x40040054 (via cnst_BankNumber)
cnst_VAngle,RESOLVED,0x4004005C (via cnst_VAngle)
gucCrankStatus,RESOLVED,0x40010969 (via gucCrankStatus)
gucCamStatus,RESOLVED,0x4001096A (via gucCamStatus)
gfCamAngle,RESOLVED,0x40010964 (via gfCamAngle)
gusTPUFirstToothAngle,RESOLVED,0x40010996 (via gusTPUFirstToothAngle)
gfInjectionDurationLowLimit,RESOLVED,0x40040018 (via gfInjectionDurationLowLimit)
gfInjectionDurationUnderLowLimit,RESOLVED,0x40040014 (via gfInjectionDurationUnderLowLimit)
DTqC_MaxTqAtCurrentEngSpd_M,RESOLVED,0x40041C84 (via mtlb_DTqC_MaxTqAtCurrentEngSpd_M)
DTqC_MaxTqNEng_A,RESOLVED,0x40041CB4 (via mtlb_DTqC_MaxTqNEng_A)
DTqC_TqFric_M,RESOLVED,0x400433AC (via mtlb_DTqC_TqFric_M)
DTqC_TOil_A,RESOLVED,0x4004202C (via mtlb_DTqC_TOil_A)
DTqC_NEng_A,RESOLVED,0x40041DB4 (via mtlb_DTqC_NEng_A)
DTqC_SpdRefWithAccrPedl_M,RESOLVED,0x40041EB8 (via mtlb_DTqC_SpdRefWithAccrPedl_M)
DTqC_AccrPedlForSpdRef_A,RESOLVED,0x40040708 (via mtlb_DTqC_AccrPedlForSpdRef_A)
DTqC_TqStrt_M,RESOLVED,0x40043A10 (via mtlb_DTqC_TqStrt_M)
DTqC_NEngForStrtCtl_A,RESOLVED,0x40041D0C (via mtlb_DTqC_NEngForStrtCtl_A)
EIP_TCooltFromTOil_M,RESOLVED,0x40044524 (via mtlb_EIP_TCooltFromTOil_M)
EIP_TOil_A,RESOLVED,0x40044604 (via mtlb_EIP_TOil_A)
EIP_TOilFromTCoolt_M,RESOLVED,0x400445C4 (via mtlb_EIP_TOilFromTCoolt_M)
EIP_TCoolt_A,RESOLVED,0x40044568 (via mtlb_EIP_TCoolt_A)
EMS_NEngStrtToIdleThd_M,RESOLVED,0x40044970 (via mtlb_EMS_NEngStrtToIdleThd_M)
EMS_TCooltStrtToIdle_A,RESOLVED,0x400449A4 (via mtlb_EMS_TCooltStrtToIdle_A)
EOP_IRefPCV_M,RESOLVED,0x40044D04 (via mtlb_EOP_IRefPCV_M)
EOP_PRailRefForPCV_A,RESOLVED,0x40044D5C (via mtlb_EOP_PRailRefForPCV_A)
EOP_IRefVCV_M,RESOLVED,0x40044D2C (via mtlb_EOP_IRefVCV_M)
EOP_PercgVCVReq_A,RESOLVED,0x40044D84 (via mtlb_EOP_PercgVCVReq_A)
EngBrk_ActEngBrkTq_M,RESOLVED,0x40044E2C (via mtlb_EngBrk_ActEngBrkTq_M)
EngBrk_DrvrBrkLvrPosn_A,RESOLVED,0x40044EBC (via mtlb_EngBrk_DrvrBrkLvrPosn_A)
EngBrk_NEngForActEngBrkTq_A,RESOLVED,0x40044F04 (via mtlb_EngBrk_NEngForActEngBrkTq_A)
EngBrk_EngBrkTqMax_M,RESOLVED,0x40044ED0 (via mtlb_EngBrk_EngBrkTqMax_M)
EngBrk_NEngForEngBrkTqMax_A,RESOLVED,0x40044F2C (via mtlb_EngBrk_NEngForEngBrkTqMax_A)
IC_FuInTank_M,RESOLVED,0x400450D4 (via mtlb_IC_FuInTank_M)
IC_FuInTank_A,RESOLVED,0x400450C8 (via mtlb_IC_FuInTank_A)
IC_OfsPlt2MaiInj_M,RESOLVED,0x40045F18 (via mtlb_IC_OfsPlt2MaiInj_M)
IC_NEngForOfsPlt2MaiInj_A,RESOLVED,0x40045DEC (via mtlb_IC_NEngForOfsPlt2MaiInj_A)
PHC_TiAcvnGridHeatr_M,RESOLVED,0x400486E0 (via mtlb_PHC_TiAcvnGridHeatr_M)
PHC_PAmbAirForTiAcvnGridHeatr_A,RESOLVED,0x40048694 (via mtlb_PHC_PAmbAirForTiAcvnGridHeatr_A)
PHC_TiAcvnGridHeatr_A,RESOLVED,0x400486B8 (via mtlb_PHC_TiAcvnGridHeatr_A)
PHC_TiPreHeatg_M,RESOLVED,0x400487B8 (via mtlb_PHC_TiPreHeatg_M)
PHC_PAmbAirForTiPreHeatgClcn_A,RESOLVED,0x400486A4 (via mtlb_PHC_PAmbAirForTiPreHeatgClcn_A)
PHC_TiPreHeatgClcn_A,RESOLVED,0x40048790 (via mtlb_PHC_TiPreHeatgClcn_A)
PtoCtrl_CoeffDForPto_M,RESOLVED,0x40048878 (via mtlb_PtoCtrl_CoeffDForPto_M)
PtoCtrl_ErrNEngRef_A,RESOLVED,0x40048EB8 (via mtlb_PtoCtrl_ErrNEngRef_A)
PtoCtrl_TCooltForSpdCtl_A,RESOLVED,0x40049134 (via mtlb_PtoCtrl_TCooltForSpdCtl_A)
PtoCtrl_CoeffFiltForPto_M,RESOLVED,0x40048A08 (via mtlb_PtoCtrl_CoeffFiltForPto_M)
PtoCtrl_CoeffIForPto_M,RESOLVED,0x40048B98 (via mtlb_PtoCtrl_CoeffIForPto_M)
PtoCtrl_CoeffPForPto_M,RESOLVED,0x40048D28 (via mtlb_PtoCtrl_CoeffPForPto_M)
PtoCtrl_PtoCtrlFF_M,RESOLVED,0x40048F78 (via mtlb_PtoCtrl_PtoCtrlFF_M)
PtoCtrl_TCooltForPtoCtrlFF_A,RESOLVED,0x4004910C (via mtlb_PtoCtrl_TCooltForPtoCtrlFF_A)
PtoCtrl_NEngForPtoCtrlFF_A,RESOLVED,0x40048EFC (via mtlb_PtoCtrl_NEngForPtoCtrlFF_A)
RPG_PercgVolCtrlVlvFFLeakg1_M,RESOLVED,0x4004A620 (via mtlb_RPG_PercgVolCtrlVlvFFLeakg1_M)
RPG_TqIndcdLimdForFFLeakg1_A,RESOLVED,0x4004B11C (via mtlb_RPG_TqIndcdLimdForFFLeakg1_A)
RPG_NEngQntyForFFLeakg1_A,RESOLVED,0x400498B4 (via mtlb_RPG_NEngQntyForFFLeakg1_A)
RPG_PercgVolCtrlVlvFFLeakg2_M,RESOLVED,0x4004A9A4 (via mtlb_RPG_PercgVolCtrlVlvFFLeakg2_M)
RPG_TqIndcdLimdForFFLeakg2_A,RESOLVED,0x4004B158 (via mtlb_RPG_TqIndcdLimdForFFLeakg2_A)
RPG_NEngQntyForFFLeakg2_A,RESOLVED,0x400498F0 (via mtlb_RPG_NEngQntyForFFLeakg2_A)
RPG_PercgVolCtrlVlvFFLeakg3_M,RESOLVED,0x4004AD28 (via mtlb_RPG_PercgVolCtrlVlvFFLeakg3_M)
RPG_TqIndcdLimdForFFLeakg3_A,RESOLVED,0x4004B194 (via mtlb_RPG_TqIndcdLimdForFFLeakg3_A)
RPG_NEngQntyForFFLeakg3_A,RESOLVED,0x4004992C (via mtlb_RPG_NEngQntyForFFLeakg3_A)
RPG_CoeffDForPRailCtl_M,RESOLVED,0x400491A8 (via mtlb_RPG_CoeffDForPRailCtl_M)
RPG_ErrPRail_A,RESOLVED,0x400497E8 (via mtlb_RPG_ErrPRail_A)
RPG_TFuForPRailCtl_A,RESOLVED,0x4004B0EC (via mtlb_RPG_TFuForPRailCtl_A)
RPG_CoeffFiltForPRailCtl_M,RESOLVED,0x40049338 (via mtlb_RPG_CoeffFiltForPRailCtl_M)
RPG_CoeffIForPRailCtl_M,RESOLVED,0x400494C8 (via mtlb_RPG_CoeffIForPRailCtl_M)
RPG_CoeffPForPRailCtl_M,RESOLVED,0x40049658 (via mtlb_RPG_CoeffPForPRailCtl_M)
RPG_PAmbAirCorrForPRail_M,RESOLVED,0x40049970 (via mtlb_RPG_PAmbAirCorrForPRail_M)
RPG_PAmbAirCorrPRail_A,RESOLVED,0x40049984 (via mtlb_RPG_PAmbAirCorrPRail_A)
RPG_PRailCorrPAmbAir_M,RESOLVED,0x400499C0 (via mtlb_RPG_PRailCorrPAmbAir_M)
RPG_TqIndcdLimdForPAmbAirCorr_A,RESOLVED,0x4004B1D0 (via mtlb_RPG_TqIndcdLimdForPAmbAirCorr_A)
RPG_NEngCorrForPAmbAirCorr_A,RESOLVED,0x40049828 (via mtlb_RPG_NEngCorrForPAmbAirCorr_A)
RPG_TCorrForPRail_M,RESOLVED,0x4004B0D8 (via mtlb_RPG_TCorrForPRail_M)
RPG_TCorrForPRail_A,RESOLVED,0x4004B0C4 (via mtlb_RPG_TCorrForPRail_A)
SC_TiMaxAllwblCrnkg_M,RESOLVED,0x4004B298 (via mtlb_SC_TiMaxAllwblCrnkg_M)
SC_TiCrnkg_A,RESOLVED,0x4004B264 (via mtlb_SC_TiCrnkg_A)
TrC_FuQntyToTq_M,RESOLVED,0x4004C74C (via mtlb_TrC_FuQntyToTq_M)
TrC_FuQntyForQntyCnvn_A,RESOLVED,0x4004C6FC (via mtlb_TrC_FuQntyForQntyCnvn_A)
TrC_NEngForQntyCnvn_A,RESOLVED,0x40050820 (via mtlb_TrC_NEngForQntyCnvn_A)
TrC_MaiFuPAmbAirCorr_M,RESOLVED,0x4004FDF8 (via mtlb_TrC_MaiFuPAmbAirCorr_M)
TrC_TqIndcdLimdForMaiFuCorr_A,RESOLVED,0x40050AF4 (via mtlb_TrC_TqIndcdLimdForMaiFuCorr_A)
TrC_MaiFuPAmbAirCorr_A,RESOLVED,0x4004FDD0 (via mtlb_TrC_MaiFuPAmbAirCorr_A)
TrC_MaiFuTAirBoostCorr_M,RESOLVED,0x4004FFB0 (via mtlb_TrC_MaiFuTAirBoostCorr_M)
TrC_MaiFuTAirBoostCorr_A,RESOLVED,0x4004FF88 (via mtlb_TrC_MaiFuTAirBoostCorr_A)
TrC_MaiFuTAmbAirCorr_M,RESOLVED,0x40050168 (via mtlb_TrC_MaiFuTAmbAirCorr_M)
TrC_MaiFuTAmbAirCorr_A,RESOLVED,0x40050140 (via mtlb_TrC_MaiFuTAmbAirCorr_A)
TrC_MaiFuTCooltCorr_M,RESOLVED,0x40050320 (via mtlb_TrC_MaiFuTCooltCorr_M)
TrC_MaiFuTCooltCorr_A,RESOLVED,0x400502F8 (via mtlb_TrC_MaiFuTCooltCorr_A)
TrC_MaiFuTOilCorr_M,RESOLVED,0x400504D8 (via mtlb_TrC_MaiFuTOilCorr_M)
TrC_MaiFuTOilCorr_A,RESOLVED,0x400504B0 (via mtlb_TrC_MaiFuTOilCorr_A)
TrC_MaiFuUClmp30Corr_M,RESOLVED,0x40050690 (via mtlb_TrC_MaiFuUClmp30Corr_M)
TrC_MaiFuUClmp30Corr_A,RESOLVED,0x40050668 (via mtlb_TrC_MaiFuUClmp30Corr_A)
TrC_MMaiFuQnty1_M,RESOLVED,0x4004CF1C (via mtlb_TrC_MMaiFuQnty1_M)
TrC_TqIndcdLimdMMaiFu_A,RESOLVED,0x40050B44 (via mtlb_TrC_TqIndcdLimdMMaiFu_A)
TrC_NEngMMaiFu_A,RESOLVED,0x40050884 (via mtlb_TrC_NEngMMaiFu_A)
TrC_MMaiFuQnty2_M,RESOLVED,0x4004D8E0 (via mtlb_TrC_MMaiFuQnty2_M)
TrC_MMaiFuQnty3_M,RESOLVED,0x4004E2A4 (via mtlb_TrC_MMaiFuQnty3_M)
TrC_MPltFuQnty1_M,RESOLVED,0x4004EE28 (via mtlb_TrC_MPltFuQnty1_M)
TrC_TqIndcdLimdMPreFu_A,RESOLVED,0x40050BA8 (via mtlb_TrC_TqIndcdLimdMPreFu_A)
TrC_NEngMPreFu_A,RESOLVED,0x400508E8 (via mtlb_TrC_NEngMPreFu_A)
TrC_MPltFuQnty2_M,RESOLVED,0x4004F080 (via mtlb_TrC_MPltFuQnty2_M)
TrC_MPltFuQnty3_M,RESOLVED,0x4004F2D8 (via mtlb_TrC_MPltFuQnty3_M)
TrC_MPltFuPAmbAirCorr_M,RESOLVED,0x4004EC98 (via mtlb_TrC_MPltFuPAmbAirCorr_M)
TrC_TqIndcdLimdForPltFuCorr_A,RESOLVED,0x40050B1C (via mtlb_TrC_TqIndcdLimdForPltFuCorr_A)
TrC_MPltFuPAmbAirCorr_A,RESOLVED,0x4004EC70 (via mtlb_TrC_MPltFuPAmbAirCorr_A)
TrC_MPltFuTAirBoostCorr_M,RESOLVED,0x4004F560 (via mtlb_TrC_MPltFuTAirBoostCorr_M)
TrC_MPltFuTAirBoostCorr_A,RESOLVED,0x4004F538 (via mtlb_TrC_MPltFuTAirBoostCorr_A)
TrC_MPltFuTAmbAirCorr_M,RESOLVED,0x4004F718 (via mtlb_TrC_MPltFuTAmbAirCorr_M)
TrC_MPltFuTAmbAirCorr_A,RESOLVED,0x4004F6F0 (via mtlb_TrC_MPltFuTAmbAirCorr_A)
TrC_MPltFuTCooltCorr_M,RESOLVED,0x4004F8D0 (via mtlb_TrC_MPltFuTCooltCorr_M)
TrC_MPltFuTCooltCorr_A,RESOLVED,0x4004F8A8 (via mtlb_TrC_MPltFuTCooltCorr_A)
TrC_MPltFuTOilCorr_M,RESOLVED,0x4004FA88 (via mtlb_TrC_MPltFuTOilCorr_M)
TrC_MPltFuTOilCorr_A,RESOLVED,0x4004FA60 (via mtlb_TrC_MPltFuTOilCorr_A)
TrC_MPltFuUClmp30Corr_M,RESOLVED,0x4004FC40 (via mtlb_TrC_MPltFuUClmp30Corr_M)
TrC_MPltFuUClmp30Corr_A,RESOLVED,0x4004FC18 (via mtlb_TrC_MPltFuUClmp30Corr_A)
TrC_RatAirFuSmokLim_M,RESOLVED,0x40050954 (via mtlb_TrC_RatAirFuSmokLim_M)
TrC_TqIndcdLimdRatAirFu_A,RESOLVED,0x40050BD0 (via mtlb_TrC_TqIndcdLimdRatAirFu_A)
TrC_NEngRatAirFu_A,RESOLVED,0x40050924 (via mtlb_TrC_NEngRatAirFu_A)
TL_TqLimp_M,RESOLVED,0x4004C658 (via mtlb_TL_TqLimp_M)
TL_NEngLimp_A,RESOLVED,0x4004B6B4 (via mtlb_TL_NEngLimp_A)
TL_TqPtoProtn_M,RESOLVED,0x4004C6C0 (via mtlb_TL_TqPtoProtn_M)
TL_NEngPtoProtn_A,RESOLVED,0x4004B714 (via mtlb_TL_NEngPtoProtn_A)
TL_TqLimnForTrsmProtn_M,RESOLVED,0x4004C4C8 (via mtlb_TL_TqLimnForTrsmProtn_M)
TL_TrsmCurrentGear_A,RESOLVED,0x4004C6E4 (via mtlb_TL_TrsmCurrentGear_A)
TL_NEngForTrsmProtn_A,RESOLVED,0x4004B68C (via mtlb_TL_NEngForTrsmProtn_A)
WgC_DutyWgtVlvFF_M,RESOLVED,0x4005187C (via mtlb_WgC_DutyWgtVlvFF_M)
WgC_TqIndcdLimdForPAirBoostFF_A,RESOLVED,0x40052AC0 (via mtlb_WgC_TqIndcdLimdForPAirBoostFF_A)
WgC_NEngForPAirBoostFF_A,RESOLVED,0x4005217C (via mtlb_WgC_NEngForPAirBoostFF_A)
WgC_LimSigLo_M,RESOLVED,0x40051F9C (via mtlb_WgC_LimSigLo_M)
WgC_TqIndcdLimdForPAirBoostFFLimSigLo_A,RESOLVED,0x40052A98 (via mtlb_WgC_TqIndcdLimdForPAirBoostFFLimSigLo_A)
WgC_NEngForPAirBoostFFLimSigLo_A,RESOLVED,0x40052154 (via mtlb_WgC_NEngForPAirBoostFFLimSigLo_A)
WgC_LimSigUp_M,RESOLVED,0x40052000 (via mtlb_WgC_LimSigUp_M)
WgC_TqIndcdLimdForPAirBoostFFLimSigUp_A,RESOLVED,0x40052AAC (via mtlb_WgC_TqIndcdLimdForPAirBoostFFLimSigUp_A)
WgC_NEngForPAirBoostFFLimSigUp_A,RESOLVED,0x40052168 (via mtlb_WgC_NEngForPAirBoostFFLimSigUp_A)
WgC_StWgtVlvCtrl_M,RESOLVED,0x40052A00 (via mtlb_WgC_StWgtVlvCtrl_M)
WgC_PAirBoostForWgtVlvFF_A,RESOLVED,0x40052618 (via mtlb_WgC_PAirBoostForWgtVlvFF_A)
CrsCtrl_CoeffDForVVehCtl_M,RESOLVED,0x400403F4 (via mtlb_CrsCtrl_CoeffDForVVehCtl_M)
CrsCtrl_ErrVVeh_A,RESOLVED,0x40040544 (via mtlb_CrsCtrl_ErrVVeh_A)
CrsCtrl_CoeffFiltForVVehCtl_M,RESOLVED,0x40040444 (via mtlb_CrsCtrl_CoeffFiltForVVehCtl_M)
CrsCtrl_CoeffIForVVehCtl_M,RESOLVED,0x40040494 (via mtlb_CrsCtrl_CoeffIForVVehCtl_M)
CrsCtrl_CoeffPForVVehCtl_M,RESOLVED,0x400404E4 (via mtlb_CrsCtrl_CoeffPForVVehCtl_M)
CrsCtrl_SatPIDMax_M,RESOLVED,0x400405DC (via mtlb_CrsCtrl_SatPIDMax_M)
CrsCtrl_CanTrsmCurrentGear_A,RESOLVED,0x400403E6 (via mtlb_CrsCtrl_CanTrsmCurrentGear_A)
CrsCtrl_NEngForPIDMax_A,RESOLVED,0x400405A0 (via mtlb_CrsCtrl_NEngForPIDMax_A)
CrsCtrl_TrfCaseStsFac_M,RESOLVED,0x400406A0 (via mtlb_CrsCtrl_TrfCaseStsFac_M)
CrsCtrl_TrfCaseStsFacForFF_A,RESOLVED,0x40040680 (via mtlb_CrsCtrl_TrfCaseStsFacForFF_A)
CrsCtrl_TrsmTqCnvrRatFac_M,RESOLVED,0x400406C0 (via mtlb_CrsCtrl_TrsmTqCnvrRatFac_M)
CrsCtrl_TrsmTqCnvrRatForFF_A,RESOLVED,0x400406E0 (via mtlb_CrsCtrl_TrsmTqCnvrRatForFF_A)
DTqC_NEngIdleGearRef_M,RESOLVED,0x40041D80 (via mtlb_DTqC_NEngIdleGearRef_M)
DTqC_IdxGearIdleRef_A,RESOLVED,0x40041C20 (via mtlb_DTqC_IdxGearIdleRef_A)
DTqC_PAmbAirNEngIdleRef_M,RESOLVED,0x40041E2C (via mtlb_DTqC_PAmbAirNEngIdleRef_M)
DTqC_PAmbAirIdleRef_A,RESOLVED,0x40041E04 (via mtlb_DTqC_PAmbAirIdleRef_A)
DTqC_TCooltNEngIdleRef_M,RESOLVED,0x40041FB4 (via mtlb_DTqC_TCooltNEngIdleRef_M)
DTqC_TCooltIdleRef_A,RESOLVED,0x40041F80 (via mtlb_DTqC_TCooltIdleRef_A)
DTqC_TOilNEngIdleRef_M,RESOLVED,0x40042004 (via mtlb_DTqC_TOilNEngIdleRef_M)
DTqC_TOilIdleRef_A,RESOLVED,0x40041FDC (via mtlb_DTqC_TOilIdleRef_A)
DTqC_CoeffDForSpdCtl_M,RESOLVED,0x400408D0 (via mtlb_DTqC_CoeffDForSpdCtl_M)
