ParameterName,Result,AddressOrNote,Mode
flash_save_eeprom_cal_flag,RESOLVED,0x40010884 (flash_save_eeprom_cal_flag),DIRECT
ClearFlagFaultLists,RESOLVED,0x400109E4 (ClearFlagFaultLists),DIRECT
gucflash_status,RESOLVED,0x40010894 (gucflash_status),DIRECT
WatchdogFile.cpu_load,RESOLVED,0x4001C220 (WatchdogFile+DWARF(1080)),STRUCT_MEMBER
gstSoftwareIdent,RESOLVED,0x9FFF00 (gstSoftwareIdent),DIRECT
gstSoftwareIdent.build_rev,RESOLVED,0x9FFF1C (gstSoftwareIdent+DWARF(28)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.second,RESOLVED,0x85CE5C (g_sRtcDefaultConfigTime+DWARF(0)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.minute,RESOLVED,0x85CE5D (g_sRtcDefaultConfigTime+DWARF(1)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.hour,RESOLVED,0x85CE5E (g_sRtcDefaultConfigTime+DWARF(2)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.day,RESOLVED,0x85CE5F (g_sRtcDefaultConfigTime+DWARF(3)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.weekday,RESOLVED,0x85CE60 (g_sRtcDefaultConfigTime+DWARF(4)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.month,RESOLVED,0x85CE61 (g_sRtcDefaultConfigTime+DWARF(5)),STRUCT_MEMBER
g_sRtcDefaultConfigTime.year,RESOLVED,0x85CE62 (g_sRtcDefaultConfigTime+DWARF(6)),STRUCT_MEMBER
A2L_FF_DM4.freeze_frame_number,RESOLVED,0x4000B314 (A2L_FF_DM4+DWARF(0)),STRUCT_MEMBER
a2l_freeze_frame_index_number,RESOLVED,0x400109E3 (a2l_freeze_frame_index_number),DIRECT
A2L_FF_DM4.spn,RESOLVED,0x4000B318 (A2L_FF_DM4+DWARF(4)),STRUCT_MEMBER
A2L_FF_DM4.fmi,RESOLVED,0x4000B31C (A2L_FF_DM4+DWARF(8)),STRUCT_MEMBER
A2L_FF_DM4.oc,RESOLVED,0x4000B31D (A2L_FF_DM4+DWARF(9)),STRUCT_MEMBER
A2L_FF_DM4.engine_torque_mode,RESOLVED,0x4000B31E (A2L_FF_DM4+DWARF(10)),STRUCT_MEMBER
A2L_FF_DM4.boost,RESOLVED,0x4000B31F (A2L_FF_DM4+DWARF(11)),STRUCT_MEMBER
A2L_FF_DM4.engine_speed_raw,RESOLVED,0x4000B320 (A2L_FF_DM4+DWARF(12)),STRUCT_MEMBER
A2L_FF_DM4.engine_percent_load,RESOLVED,0x4000B322 (A2L_FF_DM4+DWARF(14)),STRUCT_MEMBER
A2L_FF_DM4.coolant_temp,RESOLVED,0x4000B324 (A2L_FF_DM4+DWARF(16)),STRUCT_MEMBER
A2L_FF_DM4.vehicle_speed_raw,RESOLVED,0x4000B326 (A2L_FF_DM4+DWARF(18)),STRUCT_MEMBER
A2L_FF_DM4.engine_oil_temp,RESOLVED,0x4000B328 (A2L_FF_DM4+DWARF(20)),STRUCT_MEMBER
A2L_FF_DM4.trasnmission_current_gear,RESOLVED,0x4000B32A (A2L_FF_DM4+DWARF(22)),STRUCT_MEMBER
A2L_FF_DM4.total_fuel_quantity_correction,RESOLVED,0x4000B32C (A2L_FF_DM4+DWARF(24)),STRUCT_MEMBER
A2L_FF_DM4.engine_hour,RESOLVED,0x4000B330 (A2L_FF_DM4+DWARF(28)),STRUCT_MEMBER
crv_CRPressUy,RESOLVED,0x40040114 (crv_CRPressUy),DIRECT
crv_CRPressUx,RESOLVED,0x40040104 (crv_CRPressUx),DIRECT
crv_BoostPressUy,RESOLVED,0x40040134 (crv_BoostPressUy),DIRECT
crv_BoostPressUx,RESOLVED,0x40040124 (crv_BoostPressUx),DIRECT
crv_Pedal1PosY,RESOLVED,0x400401AC (crv_Pedal1PosY),DIRECT
crv_Pedal1PosX,RESOLVED,0x400401A4 (crv_Pedal1PosX),DIRECT
crv_Pedal2PosY,RESOLVED,0x400401BC (crv_Pedal2PosY),DIRECT
crv_Pedal2PosX,RESOLVED,0x400401B4 (crv_Pedal2PosX),DIRECT
crv_FuelPressY,RESOLVED,0x40040174 (crv_FuelPressY),DIRECT
crv_FuelPressX,RESOLVED,0x40040164 (crv_FuelPressX),DIRECT
crv_OilLevelUy,RESOLVED,0x40040194 (crv_OilLevelUy),DIRECT
crv_OilLevelUx,RESOLVED,0x40040184 (crv_OilLevelUx),DIRECT
crv_OilPressUy,RESOLVED,0x40040154 (crv_OilPressUy),DIRECT
crv_OilPressUx,RESOLVED,0x40040144 (crv_OilPressUx),DIRECT
crv_PT1000y_TOil,RESOLVED,0x400401F8 (crv_PT1000y_TOil),DIRECT
crv_PT1000x_TOil,RESOLVED,0x400401E4 (crv_PT1000x_TOil),DIRECT
crv_NTCy_TCoolt,RESOLVED,0x4004025C (crv_NTCy_TCoolt),DIRECT
crv_NTCx_TCoolt,RESOLVED,0x4004020C (crv_NTCx_TCoolt),DIRECT
crv_NTCy_TAirBoost,RESOLVED,0x40040310 (crv_NTCy_TAirBoost),DIRECT
crv_NTCx_TAirBoost,RESOLVED,0x400402C0 (crv_NTCx_TAirBoost),DIRECT
crv_PT1000y_TAmbAir,RESOLVED,0x40040374 (crv_PT1000y_TAmbAir),DIRECT
crv_PT1000x_TAmbAir,RESOLVED,0x40040360 (crv_PT1000x_TAmbAir),DIRECT
